cova,conf1,conf2
21.6186,0.467306864,-0.393943387
21.82244,-0.533926024,-0.897204311
20.03762,-1.744620814,-0.783549155
20.82412,-0.795154288,-0.133020571
22.66875,-0.032434801,0.163504648
24.97552,-1.596334667,0.47341866
21.24013,1.309829763,-1.458260637
28.14863,0.283720792,-0.547449823
19.34259,2.553986705,-0.81461854
34.68917,-1.360629381,1.003074315
35.49953,-1.684533021,0.442107883
22.63767,0.34464661,-0.007110961
26.36719,-0.347928796,1.332932543
28.56636,-0.065661718,-0.945762798
43.8334,-0.894041123,1.428380609
24.10959,-0.395225696,-0.388627886
25.51087,-0.791566957,-0.052326368
41.92733,-0.88489637,1.199865746
24.02566,2.424592854,-0.2852874
19.97481,0.576000051,-1.22150257
21.46514,0.42856663,-0.639997121
25.99704,1.043837994,-0.848985367
20.00712,-0.860402545,0.735327807
27.91595,-1.119984164,-0.162647069
21.97254,0.779110613,-1.188420161
20.93586,0.020860587,0.627081861
25.32389,0.239540753,-0.015009278
22.55259,-0.528986093,0.058092182
22.77925,-0.700707509,-0.380630807
23.48668,-0.133556367,-0.365302118
26.97605,-0.881176719,1.07679571
27.98643,0.863692232,1.242913965
27.31264,0.76868677,-1.340465801
21.02122,0.840242261,-1.480089588
29.31322,1.094384075,-0.235268831
24.70432,-0.485394141,0.894044543
21.2239,0.962917217,-0.171190766
30.71848,-0.318200996,0.021613383
39.84261,-1.093784887,-0.22812356
24.24958,0.53977389,-1.531761793
29.86159,-1.693530753,-0.11193303
20.00546,-0.375113119,0.893033165
20.91926,-0.897334411,-0.080883305
27.98157,3.031542786,1.944519286
26.3526,-0.408751698,-0.703412374
24.04789,-0.145906195,-0.671940971
21.41401,-0.871767327,-0.87885845
41.29346,1.956299144,1.134035615
29.48129,-0.385904516,1.470262232
20.71479,-0.331874019,-0.151040605
25.1812,1.215809347,3.299636631
27.72656,-1.358085905,0.454304887
28.78371,-0.656262831,-1.085395499
23.16482,-0.737213012,-1.090249465
21.5451,-0.403488319,-0.168098439
23.58851,0.192861345,-2.18799063
32.257,-0.187336927,1.331244032
25.8037,-1.02921293,0.320553199
21.1707,-0.77712942,0.625277327
30.00918,-0.028377,2.301927298
24.1803,2.835886228,1.024841211
23.62255,-0.517386076,-1.329484371
23.64059,0.249097168,-0.189756276
22.46817,-0.783436653,-0.407362974
25.51875,2.028104572,0.79480963
20.84677,0.295070872,-1.865799612
23.16093,0.096826731,0.340940269
25.47738,0.765569909,0.884105586
26.58125,-0.344091528,-1.046403596
24.63561,0.864015679,-0.36366123
18.24909,1.197211094,1.184150008
25.53432,0.145005762,-1.699944867
26.66237,1.355318295,-0.409514033
21.81767,-0.612700283,-1.539923124
14.86691,1.599727269,0.229045832
22.209,1.029856225,-1.782113347
22.53424,0.137610567,2.731331889
24.66124,-0.097300801,0.36773572
21.92071,-0.379817815,0.783811013
19.82081,-0.569858142,-0.817824482
37.97443,0.626693154,0.191781708
21.20169,0.566355424,-0.220275308
18.65585,-0.534514111,0.610373181
20.81511,-1.524029365,-0.103804258
22.78996,0.073068015,0.036685315
22.51868,-0.537145801,-0.206093893
16.91152,0.349542434,-0.241839816
16.94544,-0.520547044,0.447673096
20.80087,0.788020132,1.250960964
14.03698,-0.945557548,0.766452823
24.80311,0.450090616,0.510139911
25.62298,0.595098178,-1.023037058
18.80983,0.75793948,-0.238302286
19.39102,-0.199025157,0.20398988
23.69146,-0.8209125,0.752559287
23.88865,-1.272798582,0.366528454
