otu1,otu2,otu3,otu4,otu5,otu6,otu7,otu8,otu9,otu10,otu11,otu12,otu13,otu14,otu15,otu16,otu17,otu18,otu19,otu20,otu21,otu22,otu23,otu24,otu25,otu26,otu27,otu28,otu29,otu30,otu31,otu32,otu33,otu34,otu35,otu36,otu37,otu38,otu39,otu40,otu41,otu42,otu43,otu44,otu45,otu46,otu47,otu48,otu49,otu50,otu51,otu52,otu53,otu54,otu55,otu56,otu57,otu58,otu59,otu60,otu61,otu62,otu63,otu64,otu65,otu66,otu67,otu68,otu69,otu70,otu71,otu72,otu73,otu74,otu75,otu76,otu77,otu78,otu79,otu80
0,0,0,0,0,0,0,2878,0,69,68,341,0,0,850,834,0,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,5,0,128,0,0,63,21,0,0,209,0,0,1,2,2,289,0,191,28,0,69,7,0,367,0,0,0,0,0,3,0,0,13,4,0,0,0,0,203,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,578,180,0,0,302,0,83,3448,39,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,1,0,45,0,0,43,107,0,0,13,0,0,0,6,3,101,0,240,23,0,45,0,0,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,0,0,3503,143,0,17,169,0,0,0,486,0,0,0,0,0,16,0,0,29,1,0,58,0,0,0,0,0,0,39,0,0,30,14,0,0,166,0,0,0,1,5,153,0,46,42,0,151,0,0,85,0,0,0,15,0,4,0,0,0,0,0,4,0,2,5,91,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2162,1,0,87,149,0,0,0,402,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,0,146,0,0,49,35,0,0,219,0,0,0,3,2,658,0,217,24,0,144,0,0,2,0,0,0,84,0,1,0,0,0,12,0,0,0,0,107,0,3,0,0,0,0,0,0,0
0,0,0,2,0,0,0,4453,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,80,0,1,266,18,0,0,382,0,0,0,0,24,358,0,286,90,0,244,0,0,25,0,0,0,48,0,4,0,0,0,1,0,0,0,0,204,0,9,0,0,1,0,0,0,0
0,0,0,1,0,0,0,950,237,19,42,219,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1,0,2,0,12,0,0,26,10,0,0,23,0,0,0,2,0,34,0,133,10,0,48,0,0,6,0,0,0,22,0,1,0,2,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1988,232,24,0,505,0,0,0,181,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,79,0,0,136,12,0,0,128,0,0,0,2,4,171,0,32,68,0,114,1,0,0,0,0,0,58,0,1,0,0,40,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2972,123,19,42,289,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,10,12,0,0,24,0,0,2,5,2,128,0,70,41,0,169,99,0,0,62,0,0,58,0,0,0,0,0,0,0,0,0,0,2,51,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1586,85,120,372,449,0,72,358,1369,0,0,1,0,0,0,0,0,3,0,1,286,0,0,0,0,4,2,67,0,0,152,19,0,0,1123,0,0,2,10,5,679,0,666,182,2,214,17,0,0,46,0,0,0,0,0,0,0,1,6,0,0,0,0,6,59,4,1,3,0,0,0,0,0
0,0,0,0,0,0,0,2997,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,41,0,0,18,14,0,0,200,0,0,0,1,1,402,0,74,0,0,74,19,1,0,0,0,0,73,0,10,0,0,0,0,0,3,0,0,46,0,0,0,0,0,0,0,0,0
0,2,0,1,0,0,0,1082,78,0,22,81,0,0,41,256,0,0,1,3,0,97,0,0,7,0,0,0,0,0,0,0,25,4,462,0,0,227,221,0,0,439,1,0,0,0,1,285,1,10,471,0,2491,4,9,0,0,488,0,0,0,1,0,632,0,6,0,1,0,0,33,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3817,0,1,69,96,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,65,0,0,41,28,0,0,80,0,0,0,0,3,419,0,167,0,0,104,0,0,0,1,0,0,73,0,0,0,0,5,4,0,2,0,0,27,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2252,0,0,131,219,0,0,0,516,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,116,0,0,24,21,0,0,304,0,0,0,1,2,209,0,118,54,0,71,0,0,0,0,0,0,114,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1084,0,15,53,83,0,0,3862,330,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,3,1,62,0,0,6,12,0,0,102,0,0,0,0,2,146,0,49,68,0,196,43,0,237,0,1,0,41,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,404,0,0,0,17,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,270,0,0,0,54,0,0,12,0,0,0,1,5,53,0,0,0,0,0,51,0,93,0,336,0,0,0,7,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3319,535,40,76,273,0,443,0,861,0,1,0,0,0,0,0,0,2,1,0,6,0,0,0,0,5,2,26,0,0,17,13,0,0,22,0,0,2,8,10,213,0,201,219,0,216,67,0,0,0,12,0,186,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0
0,0,0,6,2,0,0,1913,0,0,39,266,6,0,0,104,0,0,0,2,0,1,0,0,7,0,0,0,2,0,0,1,6,0,72,0,0,30,48,0,0,57,0,0,0,1,1,43,0,20,0,0,38,0,2,1,0,0,0,119,0,0,0,0,136,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,4563,0,0,0,368,0,0,2,116,0,0,0,0,0,0,0,0,2,0,0,47,0,0,0,0,0,0,16,0,0,6,74,0,0,284,0,0,0,2,0,73,0,17,96,0,11,3,3,0,0,0,0,92,0,3,0,10,4,0,0,0,0,0,1,256,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,5119,3,32,86,279,0,0,1,66,0,0,0,0,0,0,0,0,1,0,1,150,0,1,0,0,0,0,130,1,0,40,49,0,0,89,0,0,0,6,6,184,0,17,94,0,0,56,0,0,0,0,0,232,0,0,0,0,0,3,0,0,0,0,3,85,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1714,0,0,22,280,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,1,0,0,76,0,0,0,1,1,70,0,4,3,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17
0,0,2,0,0,0,0,422,204,0,44,327,0,0,1778,100,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,7,0,0,7,5,0,0,4,0,0,0,0,0,58,0,118,6,0,233,0,0,32,24,0,0,0,0,1,0,8,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,4674,166,10,29,93,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,27,0,0,6,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,28,0,167,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
