model,data_type,tau,lam,SE,PE,l_inf,FPR,FNR,TPR
Eric,lognormal,0.1,0.05,0.223(0.011),0.091(0.003),0.252(0.007),0.236(0.008),0(0),1(0)
CoDA,lognormal,0.1,0.05,0.269(0.012),0.103(0.003),0.278(0.007),0.243(0.007),0(0),1(0)
CoCo,lognormal,0.1,0.05,0.237(0.012),0.096(0.003),0.262(0.008),0.246(0.008),0(0),1(0)
Vani,lognormal,0.1,0.05,0.284(0.013),0.107(0.003),0.286(0.007),0.255(0.008),0(0),1(0)
Eric,lognormal,NA,0.05,0.223(0.011),0.091(0.003),0.252(0.007),1(0.),0(0),1(0)
CoDA,lognormal,NA,0.05,0.269(0.012),0.103(0.003),0.278(0.007),1(0.),0(0),1(0)
CoCo,lognormal,NA,0.05,0.237(0.012),0.096(0.003),0.262(0.008),1(0.),0(0),1(0)
Vani,lognormal,NA,0.05,0.284(0.013),0.107(0.003),0.286(0.007),1(0.),0(0),1(0)
Debi,lognormal,NA,0.05,0.284(0.013),0.107(0.003),0.286(0.007),1(0.),0(0),1(0)
Eric,lognormal,0.3,0.1,0.652(0.032),0.246(0.008),0.448(0.014),0.186(0.006),0.01(0.004),0.99(0.004)
CoDA,lognormal,0.3,0.1,1.132(0.04),0.389(0.011),0.562(0.013),0.231(0.009),0.013(0.005),0.987(0.005)
CoCo,lognormal,0.3,0.09,0.656(0.031),0.247(0.008),0.449(0.013),0.203(0.007),0.007(0.003),0.993(0.003)
Vani,lognormal,0.3,0.09,1.137(0.038),0.376(0.009),0.564(0.011),0.239(0.008),0.008(0.004),0.992(0.004)
Eric,lognormal,0.5,0.2,1.779(0.064),0.655(0.022),0.737(0.015),0.117(0.005),0.128(0.012),0.872(0.012)
CoDA,lognormal,0.5,0.17,2.542(0.056),0.976(0.023),0.825(0.011),0.185(0.009),0.11(0.011),0.89(0.011)
CoCo,lognormal,0.5,0.19,1.81(0.068),0.653(0.02),0.751(0.015),0.121(0.005),0.135(0.012),0.865(0.012)
Vani,lognormal,0.5,0.16,2.564(0.061),0.948(0.023),0.828(0.012),0.198(0.009),0.122(0.012),0.878(0.012)
Eric,lognormal,0.7,0.32,2.834(0.08),1.156(0.033),0.922(0.016),0.086(0.004),0.258(0.013),0.742(0.013)
CoDA,lognormal,0.7,0.24,3.757(0.061),1.656(0.034),1.021(0.014),0.167(0.008),0.19(0.011),0.81(0.011)
CoCo,lognormal,0.7,0.31,2.976(0.099),1.211(0.041),0.954(0.018),0.089(0.005),0.28(0.015),0.72(0.015)
Vani,lognormal,0.7,0.23,3.83(0.073),1.636(0.036),1.034(0.015),0.176(0.009),0.21(0.014),0.79(0.014)
Eric,lognormal,0.9,0.45,3.886(0.105),1.792(0.052),1.107(0.02),0.065(0.003),0.352(0.015),0.648(0.015)
CoDA,lognormal,0.9,0.32,4.843(0.077),2.397(0.052),1.176(0.014),0.158(0.01),0.258(0.017),0.742(0.017)
CoCo,lognormal,0.9,0.46,4.134(0.12),1.949(0.063),1.138(0.02),0.054(0.004),0.432(0.019),0.568(0.019)
Vani,lognormal,0.9,0.32,4.938(0.082),2.425(0.056),1.185(0.014),0.157(0.01),0.317(0.019),0.683(0.019)
Eric,lognormal,1.1,0.61,4.847(0.113),2.529(0.079),1.236(0.018),0.05(0.003),0.448(0.015),0.552(0.015)
CoDA,lognormal,1.1,0.4,5.622(0.069),3.032(0.059),1.267(0.012),0.154(0.01),0.313(0.016),0.687(0.016)
CoCo,lognormal,1.1,0.65,5.147(0.117),2.83(0.082),1.274(0.017),0.035(0.003),0.557(0.019),0.443(0.019)
Vani,lognormal,1.1,0.41,5.699(0.073),3.098(0.063),1.273(0.012),0.145(0.011),0.367(0.018),0.633(0.018)
Eric,lognormal,1.3,0.78,5.74(0.119),3.295(0.101),1.329(0.015),0.04(0.003),0.56(0.019),0.44(0.019)
CoDA,lognormal,1.3,0.53,6.29(0.072),3.681(0.084),1.336(0.011),0.135(0.01),0.408(0.022),0.592(0.022)
CoCo,lognormal,1.3,0.81,5.873(0.111),3.595(0.094),1.348(0.014),0.028(0.002),0.652(0.02),0.348(0.02)
Vani,lognormal,1.3,0.52,6.316(0.07),3.735(0.08),1.337(0.01),0.127(0.011),0.458(0.023),0.542(0.023)
Eric,lognormal,NA,0.78,5.74(0.119),3.295(0.101),1.329(0.015),0.(0.),0.56(0.019),0.(0.)
CoDA,lognormal,NA,0.53,6.29(0.072),3.681(0.084),1.336(0.011),0.(0.),0.408(0.022),0.(0.)
CoCo,lognormal,NA,0.81,5.873(0.111),3.595(0.094),1.348(0.014),0.(0.),0.652(0.02),0.(0.)
Vani,lognormal,NA,0.52,6.316(0.07),3.735(0.08),1.337(0.01),0.(0.),0.458(0.023),0.(0.)
Debi,lognormal,NA,0.52,6.316(0.07),3.735(0.08),1.337(0.01),0.(0.),0.458(0.023),0.(0.)
CoDA,lognormal,1.5,0.65,6.721(0.064),4.165(0.087),1.374(0.009),0.117(0.01),0.49(0.024),0.51(0.024)
Vani,lognormal,1.5,0.64,6.744(0.063),4.245(0.091),1.375(0.009),0.11(0.011),0.558(0.024),0.442(0.024)
CoDA,lognormal,1.7,0.78,7.025(0.056),4.54(0.091),1.401(0.008),0.105(0.01),0.563(0.025),0.437(0.025)
Vani,lognormal,1.7,0.76,7.002(0.055),4.595(0.097),1.396(0.008),0.104(0.011),0.598(0.024),0.402(0.024)
CoDA,lognormal,1.9,0.89,7.223(0.049),4.824(0.093),1.419(0.007),0.095(0.01),0.63(0.024),0.37(0.024)
Vani,lognormal,1.9,0.89,7.211(0.049),4.91(0.1),1.419(0.007),0.09(0.01),0.665(0.024),0.335(0.024)
Eric,lognormal,1.5,0.96,6.367(0.107),3.945(0.101),1.378(0.013),0.03(0.002),0.657(0.019),0.343(0.019)
Debi,lognormal,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.056(0.002),0.13(0.011),0.87(0.011)
Debi,lognormal,1.5,0.27,20959.487(19252.164),22490.748(21010.666),10.022(3.462),0.048(0.007),0.828(0.021),0.172(0.021)
Debi,lognormal,2.5,0.37,123601.135(83227.627),156305.328(117886.843),25.312(8.586),0.066(0.014),0.938(0.017),0.062(0.017)
Debi,lognormal,3.5,0.4,5740163.634(5726612.911),9081971.15(9065927.432),66.13(54.891),0.072(0.013),0.943(0.014),0.057(0.014)
Debi,lognormal,4.5,0.41,389973.856(383640.611),354492.403(348355.211),24.933(16.656),0.105(0.02),0.86(0.025),0.14(0.025)
Debi,lognormal,5.5,0.42,16381.831(15387.47),10971.16(9343.257),7.805(3.206),0.11(0.014),0.885(0.019),0.115(0.019)
Debi,lognormal,6.5,0.43,1225.23(695.971),1173.106(459.561),4.912(0.81),0.159(0.023),0.848(0.023),0.152(0.023)
Debi,lognormal,7.5,0.43,4096.31(3202.408),7628.992(6046.379),6.094(1.958),0.189(0.022),0.837(0.024),0.163(0.024)
Debi,lognormal,8.5,0.43,488706.175(487989.197),513015.135(512105.125),23.929(20.817),0.258(0.024),0.753(0.026),0.247(0.026)
Debi,lognormal,9.5,0.43,2530.547(2281.241),2577.922(2210.506),4.018(1.462),0.313(0.025),0.683(0.028),0.317(0.028)
Debi,lognormal,10.5,0.43,15620.783(15444.878),23118.141(22868.509),5.77(3.321),0.353(0.025),0.633(0.03),0.367(0.03)
Debi,lognormal,11.5,0.43,11801.841(11714.544),18839.476(18703.891),4.57(2.324),0.368(0.026),0.598(0.032),0.402(0.032)
Debi,lognormal,12.5,0.43,176.486(113.865),270.232(176.356),2.385(0.315),0.386(0.026),0.59(0.031),0.41(0.031)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.675(0.007),0.102(0.014),0.898(0.014)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.73(0.007),0.083(0.011),0.917(0.011)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.783(0.006),0.065(0.011),0.935(0.011)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.836(0.005),0.058(0.011),0.942(0.011)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.887(0.004),0.038(0.008),0.962(0.008)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.941(0.002),0.018(0.005),0.982(0.005)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),1(0),0(0),1(0)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.364(0.008),0.222(0.018),0.778(0.018)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.413(0.008),0.205(0.018),0.795(0.018)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.465(0.008),0.19(0.017),0.81(0.017)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.512(0.008),0.167(0.016),0.833(0.016)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.565(0.008),0.143(0.015),0.857(0.015)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.62(0.008),0.125(0.014),0.875(0.014)
Debi,lognormal,1,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.675(0.007),0.102(0.014),0.898(0.014)
Debi,lognormal,100,100,100,0.1,0.5,0.03,0.36(0.01),0.332(0.026),0.226(0.006),0.157(0.004),0(0),1(0)
Debi,lognormal,100,100,100,0.3,0.5,0.06,1.126(0.03),0.867(0.067),0.427(0.011),0.14(0.003),0.002(0.002),0.998(0.002)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.102(0.002),0.085(0.01),0.915(0.01)
Debi,lognormal,100,100,100,0.7,0.5,0.13,4.054(0.067),3.522(0.29),0.769(0.013),0.082(0.002),0.223(0.012),0.777(0.012)
Debi,lognormal,100,100,100,0.9,0.5,0.16,11.716(5.472),8.384(2.507),0.95(0.055),0.064(0.002),0.357(0.015),0.643(0.015)
Debi,lognormal,100,100,100,1.1,0.5,0.19,46934.193(38579.344),36255.611(31997.299),9.375(4.932),0.047(0.002),0.538(0.022),0.462(0.022)
Debi,lognormal,100,100,100,1.3,0.5,0.23,33032.967(24968.164),18882.948(13474.127),10.432(4.857),0.036(0.003),0.747(0.021),0.253(0.021)
Debi,lognormal,100,100,100,1.5,0.5,0.27,20959.487(19252.164),22490.748(21010.666),10.022(3.462),0.029(0.005),0.86(0.017),0.14(0.017)
Eric,lognormal,100,100,100,1,0.5,20.26,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,14.58,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,10.49,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,7.55,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,5.43,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,3.91,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,2.81,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,2.03,7.78(0),5.37(0.079),1.5(0),0(0),0.972(0.006),0.028(0.006)
Eric,lognormal,100,100,100,1,0.5,1.46,7.679(0.022),5.257(0.071),1.482(0.004),0.001(0),0.848(0.013),0.152(0.013)
Eric,lognormal,100,100,100,1,0.5,1.05,6.924(0.071),4.454(0.057),1.412(0.008),0.01(0.001),0.685(0.014),0.315(0.014)
Eric,lognormal,100,100,100,1,0.5,0.76,5.833(0.079),3.412(0.046),1.319(0.012),0.026(0.002),0.503(0.014),0.497(0.014)
Eric,lognormal,100,100,100,1,0.5,0.54,4.9(0.084),2.574(0.039),1.223(0.016),0.05(0.002),0.392(0.014),0.608(0.014)
Eric,lognormal,100,100,100,1,0.5,0.39,4.239(0.088),1.964(0.036),1.133(0.018),0.1(0.003),0.315(0.014),0.685(0.014)
Eric,lognormal,100,100,100,1,0.5,0.28,3.958(0.09),1.625(0.035),1.07(0.019),0.179(0.003),0.272(0.013),0.728(0.013)
Eric,lognormal,100,100,100,1,0.5,0.2,4.755(0.147),2.032(0.079),1.051(0.021),0.274(0.003),0.242(0.013),0.758(0.013)

Eric,lognormal,100,100,100,1,0.5,2.58,7.78(0),5.37(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,1,0.5,1.58,7.748(0.012),5.335(0.075),1.494(0.002),0(0),0.892(0.011),0.108(0.011)
Eric,lognormal,100,100,100,1,0.5,0.96,6.654(0.077),4.181(0.055),1.389(0.009),0.014(0.002),0.638(0.014),0.362(0.014)
Eric,lognormal,100,100,100,1,0.5,0.59,5.099(0.082),2.752(0.04),1.247(0.015),0.043(0.002),0.417(0.014),0.583(0.014)
Eric,lognormal,100,100,100,1,0.5,0.36,4.115(0.088),1.841(0.036),1.113(0.018),0.118(0.003),0.295(0.013),0.705(0.013)
Eric,lognormal,100,100,100,1,0.5,0.22,4.344(0.112),1.794(0.05),1.047(0.021),0.249(0.003),0.252(0.014),0.748(0.014)
Eric,lognormal,100,100,100,1,0.5,0.13,510.545(140.144),289.345(78.176),4.894(0.774),0.429(0.007),0.257(0.015),0.743(0.015)
Eric,lognormal,100,100,100,1,0.5,0.08,22372.434(2381.81),12668.897(1376.655),46(2.72),0.65(0.006),0.252(0.017),0.748(0.017)
Eric,lognormal,100,100,100,1,0.5,0.05,76391.835(4708.475),41910.556(2709.414),85.771(2.949),0.787(0.005),0.162(0.013),0.838(0.013)
Eric,lognormal,100,100,100,1,0.5,0.03,132065.276(6363.133),71005.908(3707.675),108.76(3.079),0.874(0.003),0.102(0.012),0.898(0.012)
Eric,lognormal,100,100,100,1,0.5,0.02,175808.213(7429.334),93022.136(4339.43),122.226(3.137),0.93(0.003),0.062(0.011),0.938(0.011)
Eric,lognormal,100,100,100,1,0.5,0.01,206312.769(8083.61),108012.28(4722.499),130.144(3.162),0.964(0.002),0.037(0.008),0.963(0.008)
Eric,lognormal,100,100,100,1,0.5,0.01,226504.069(8494.712),117785.341(4970.306),134.895(3.193),0.983(0.001),0.017(0.005),0.983(0.005)
Eric,lognormal,100,100,100,1,0.5,0,239456.476(8752.168),124005.855(5126.993),137.923(3.212),0.993(0.001),0.005(0.003),0.995(0.003)
Eric,lognormal,100,100,100,1,0.5,0,247601.458(8911.608),127901.288(5224.122),139.773(3.225),0.997(0.001),0.002(0.002),0.998(0.002)
Eric,lognormal,100,100,100,1,0.5,0.22,4.326(0.111),1.784(0.049),1.047(0.021),0.247(0.003),0.252(0.014),0.748(0.014)
Eric,lognormal,100,100,100,1,0.5,0.18,6.923(0.49),3.334(0.312),1.141(0.031),0.321(0.004),0.238(0.014),0.762(0.014)
Eric,lognormal,100,100,100,1,0.5,0.14,170.783(52.106),97.622(29.114),3.06(0.459),0.404(0.006),0.24(0.016),0.76(0.016)
Eric,lognormal,100,100,100,1,0.5,0.11,3326.727(667.027),1922.965(384.353),13.472(1.727),0.511(0.008),0.28(0.018),0.72(0.018)
Eric,lognormal,100,100,100,1,0.5,0.09,13811.54(1791.648),7885.811(1038.115),34.276(2.54),0.608(0.007),0.287(0.018),0.713(0.018)
Eric,lognormal,100,100,100,1,0.5,0.07,33079.001(2974.341),18574.734(1717.393),57.173(2.822),0.686(0.006),0.213(0.015),0.787(0.015)
Eric,lognormal,100,100,100,1,0.5,0.06,57423.512(4032.373),31749.726(2322.341),75.195(2.904),0.75(0.005),0.183(0.014),0.817(0.014)
Eric,lognormal,100,100,100,1,0.5,0.05,83589.015(4947.377),45740.495(2849.993),89.315(2.969),0.8(0.004),0.152(0.013),0.848(0.013)
Eric,lognormal,100,100,100,1,0.5,0.04,109226.051(5736.23),59242.392(3326.8),100.534(3.025),0.843(0.004),0.115(0.012),0.885(0.012)
Eric,lognormal,100,100,100,1,0.5,0.03,132948.313(6386.487),71457.311(3721.987),109.064(3.081),0.875(0.003),0.102(0.012),0.898(0.012)
Eric,lognormal,100,100,100,1,0.5,0.02,154171.844(6924.327),82209.509(4043.119),115.914(3.118),0.903(0.003),0.082(0.011),0.918(0.011)
Eric,lognormal,100,100,100,1,0.5,0.02,172533.525(7355.5),91397.553(4296.18),121.306(3.135),0.926(0.003),0.063(0.01),0.937(0.01)
Eric,lognormal,100,100,100,1,0.5,0.02,188191.784(7700.572),99139.744(4499.141),125.582(3.141),0.944(0.002),0.05(0.009),0.95(0.009)
Eric,lognormal,100,100,100,1,0.5,0.01,201340.282(7980.028),105584.753(4661.598),128.934(3.155),0.958(0.002),0.038(0.008),0.962(0.008)
Eric,lognormal,100,100,100,1,0.5,0.01,212311.843(8207.035),110926.485(4795.819),131.569(3.172),0.97(0.002),0.025(0.006),0.975(0.006)
Eric,lognormal,100,100,100,0.7,0.5,19.76,7.78(0),5.331(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,0.7,0.5,13.73,7.78(0),5.331(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,0.7,0.5,9.55,7.78(0),5.331(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,0.7,0.5,6.64,7.78(0),5.331(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,0.7,0.5,4.61,7.78(0),5.331(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,0.7,0.5,3.21,7.78(0),5.331(0.079),1.5(0),0(0),1(0),0(0)
Eric,lognormal,100,100,100,0.7,0.5,2.23,7.78(0),5.331(0.079),1.5(0),0(0),0.995(0.003),0.005(0.003)
Eric,lognormal,100,100,100,0.7,0.5,1.55,7.754(0.012),5.3(0.075),1.495(0.002),0(0),0.897(0.01),0.103(0.01)
Eric,lognormal,100,100,100,0.7,0.5,1.08,6.944(0.072),4.464(0.053),1.417(0.008),0.004(0.001),0.677(0.015),0.323(0.015)
Eric,lognormal,100,100,100,0.7,0.5,0.75,5.505(0.082),3.164(0.04),1.281(0.013),0.014(0.001),0.493(0.013),0.507(0.013)
Eric,lognormal,100,100,100,0.7,0.5,0.52,4.25(0.081),2.154(0.031),1.124(0.017),0.031(0.002),0.357(0.013),0.643(0.013)
Eric,lognormal,100,100,100,0.7,0.5,0.36,3.35(0.073),1.487(0.026),0.991(0.016),0.06(0.002),0.27(0.012),0.73(0.012)
