model,data_type,n,p,N_sim,tau,rho,lam,SE,PE,l_inf,FPR,FNR,TPR
Eric,dirichlet,100,100,100,0.5,0.5,0.97,0.02(0.001),0.486(0.017),0.077(0.002),0.186(0.008),0(0),1(0)
CoCo,dirichlet,100,100,100,0.5,0.5,0.88,0.021(0.001),0.497(0.017),0.077(0.002),0.21(0.009),0(0),1(0)
Eric,dirichlet,100,100,100,NA,0.5,0.05,0.223(0.011),0.091(0.003),0.252(0.007),1(0.),0(0),1(0)
Coda,dirichlet,100,100,100,NA,0.5,0.05,0.269(0.012),0.103(0.003),0.278(0.007),1(0.),0(0),1(0)
CoCo,dirichlet,100,100,100,NA,0.5,0.05,0.237(0.012),0.096(0.003),0.262(0.008),1(0.),0(0),1(0)
Vani,dirichlet,100,100,100,NA,0.5,0.05,0.284(0.013),0.107(0.003),0.286(0.007),1(0.),0(0),1(0)
Eric,dirichlet,100,100,100,1.5,0.5,3.04,0.153(0.007),3.566(0.125),0.221(0.007),0.151(0.007),0(0),1(0)
Coda,dirichlet,100,100,100,1.5,0.5,2.6,0.301(0.012),6.033(0.159),0.299(0.008),0.216(0.01),0(0),1(0)
CoCo,dirichlet,100,100,100,1.5,0.5,2.86,0.155(0.007),3.633(0.14),0.22(0.007),0.167(0.008),0(0),1(0)
Vani,dirichlet,100,100,100,1.5,0.5,2.37,0.304(0.013),5.916(0.151),0.297(0.009),0.24(0.01),0(0),1(0)
Eric,dirichlet,100,100,100,2.5,0.5,5.85,0.458(0.022),10.146(0.359),0.399(0.013),0.113(0.005),0(0),1(0)
Coda,dirichlet,100,100,100,2.5,0.5,4.35,0.934(0.032),18.612(0.434),0.529(0.013),0.214(0.009),0(0),1(0)
CoCo,dirichlet,100,100,100,2.5,0.5,5.54,0.455(0.022),10.078(0.357),0.399(0.013),0.124(0.005),0(0),1(0)
Vani,dirichlet,100,100,100,2.5,0.5,3.99,0.939(0.034),18.204(0.413),0.526(0.013),0.235(0.01),0(0),1(0)
Eric,dirichlet,100,100,100,3.5,0.5,8.78,1.038(0.047),22.954(0.785),0.6(0.017),0.101(0.005),0.017(0.005),0.983(0.005)
Coda,dirichlet,100,100,100,3.5,0.5,6.26,1.868(0.055),39.167(0.883),0.743(0.015),0.206(0.01),0.01(0.004),0.99(0.004)
CoCo,dirichlet,100,100,100,3.5,0.5,8.41,1.032(0.048),23.043(0.784),0.601(0.018),0.108(0.005),0.025(0.006),0.975(0.006)
Vani,dirichlet,100,100,100,3.5,0.5,5.75,1.858(0.056),38.427(0.861),0.737(0.016),0.228(0.01),0.012(0.004),0.988(0.004)
Eric,dirichlet,100,100,100,4.5,0.5,12.22,1.97(0.077),45.741(1.48),0.804(0.019),0.087(0.005),0.062(0.009),0.938(0.009)
Coda,dirichlet,100,100,100,4.5,0.5,8.42,2.915(0.069),66.615(1.402),0.92(0.015),0.2(0.011),0.032(0.007),0.968(0.007)
CoCo,dirichlet,100,100,100,4.5,0.5,11.9,1.945(0.082),46.031(1.689),0.804(0.02),0.091(0.005),0.065(0.01),0.935(0.01)
Vani,dirichlet,100,100,100,4.5,0.5,7.91,2.877(0.071),65.862(1.347),0.912(0.016),0.214(0.01),0.038(0.008),0.962(0.008)
Eric,dirichlet,100,100,100,5.5,0.5,16.42,3.111(0.107),78.415(2.517),0.982(0.021),0.066(0.004),0.147(0.013),0.853(0.013)
Coda,dirichlet,100,100,100,5.5,0.5,10.86,3.911(0.08),96.707(2.131),1.061(0.015),0.188(0.011),0.08(0.011),0.92(0.011)
CoCo,dirichlet,100,100,100,5.5,0.5,16.22,3.105(0.115),80.187(2.862),0.987(0.022),0.067(0.004),0.147(0.015),0.853(0.015)
Vani,dirichlet,100,100,100,5.5,0.5,10.62,3.894(0.083),98.247(2.203),1.059(0.016),0.192(0.01),0.087(0.012),0.913(0.012)
Eric,dirichlet,100,100,100,6.5,0.5,21.05,4.202(0.133),114.593(3.897),1.125(0.022),0.057(0.004),0.26(0.02),0.74(0.02)
Coda,dirichlet,100,100,100,6.5,0.5,14.92,4.893(0.098),132.13(3.396),1.182(0.016),0.155(0.011),0.182(0.019),0.818(0.019)
CoCo,dirichlet,100,100,100,6.5,0.5,20.76,4.224(0.135),116.919(3.881),1.135(0.022),0.058(0.004),0.273(0.021),0.727(0.021)
Vani,dirichlet,100,100,100,6.5,0.5,14.48,4.857(0.099),133.047(3.183),1.179(0.016),0.159(0.01),0.18(0.019),0.82(0.019)
Eric,dirichlet,100,100,100,7.5,0.5,27.03,5.22(0.147),151.795(4.815),1.239(0.02),0.044(0.004),0.4(0.025),0.6(0.025)
Coda,dirichlet,100,100,100,7.5,0.5,20.02,5.697(0.101),164.514(4.128),1.274(0.015),0.125(0.011),0.285(0.024),0.715(0.024)
CoCo,dirichlet,100,100,100,7.5,0.5,27.27,5.234(0.15),155.987(4.989),1.241(0.021),0.044(0.004),0.42(0.026),0.58(0.026)
Vani,dirichlet,100,100,100,7.5,0.5,20.46,5.684(0.106),166.92(3.981),1.272(0.016),0.128(0.01),0.295(0.028),0.705(0.028)
Eric,dirichlet,100,100,100,8.5,0.5,32.48,5.911(0.129),178.815(4.723),1.314(0.017),0.038(0.003),0.482(0.025),0.518(0.025)
Coda,dirichlet,100,100,100,8.5,0.5,25.06,6.254(0.092),188.897(4.046),1.336(0.013),0.103(0.009),0.36(0.027),0.64(0.027)
CoCo,dirichlet,100,100,100,8.5,0.5,32.64,5.924(0.134),183.409(4.857),1.318(0.018),0.038(0.004),0.515(0.027),0.485(0.027)
Vani,dirichlet,100,100,100,8.5,0.5,25.89,6.29(0.097),193.448(4.239),1.341(0.014),0.103(0.01),0.4(0.029),0.6(0.029)
Eric,dirichlet,100,100,100,9.5,0.5,38.71,6.477(0.112),202.62(4.603),1.367(0.014),0.03(0.003),0.58(0.025),0.42(0.025)
Coda,dirichlet,100,100,100,9.5,0.5,30.54,6.687(0.077),209.202(4.136),1.38(0.011),0.084(0.008),0.45(0.028),0.55(0.028)
CoCo,dirichlet,100,100,100,9.5,0.5,39.28,6.515(0.115),209.65(4.969),1.373(0.014),0.028(0.003),0.625(0.027),0.375(0.027)
Vani,dirichlet,100,100,100,9.5,0.5,31.78,6.734(0.084),214.239(4.161),1.387(0.011),0.081(0.009),0.517(0.03),0.483(0.03)
