"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.027(0.001),0.53(0.02),0.47(0.02)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.043(0.002),0.467(0.019),0.533(0.019)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.059(0.003),0.43(0.02),0.57(0.02)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.075(0.004),0.405(0.02),0.595(0.02)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.091(0.005),0.377(0.019),0.623(0.019)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.106(0.005),0.357(0.018),0.643(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.125(0.005),0.35(0.018),0.65(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.143(0.006),0.34(0.018),0.66(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.158(0.006),0.327(0.018),0.673(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.176(0.006),0.313(0.018),0.687(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.194(0.006),0.3(0.018),0.7(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.21(0.006),0.29(0.018),0.71(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.229(0.007),0.283(0.018),0.717(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.229(0.007),0.283(0.018),0.717(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.25(0.007),0.272(0.018),0.728(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.269(0.007),0.265(0.017),0.735(0.017)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.288(0.008),0.252(0.018),0.748(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.307(0.008),0.237(0.017),0.763(0.017)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.325(0.008),0.232(0.018),0.768(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.344(0.008),0.227(0.018),0.773(0.018)
Debi,lognormal,100,100,100,1,0.5,0.17,104.524(62.494),73.083(41.35),1.396(0.236),0.364(0.008),0.222(0.018),0.778(0.018)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.034(0.002),0.175(0.013),0.825(0.013)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.063(0.002),0.125(0.011),0.875(0.011)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.092(0.002),0.1(0.01),0.9(0.01)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.118(0.003),0.073(0.009),0.927(0.009)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.147(0.003),0.058(0.009),0.942(0.009)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.177(0.003),0.052(0.008),0.948(0.008)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.209(0.003),0.042(0.007),0.958(0.007)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.244(0.003),0.038(0.007),0.962(0.007)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.281(0.004),0.032(0.007),0.968(0.007)
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.318(0.004),0.027(0.006),0.973(0.006)
