"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR"
Eric,dirichlet,100,200,100,0.5,0.5,0.61,0.066(0.004),0.734(0.024),0.134(0.006),0.184(0.007),0(0)
Coda,dirichlet,100,200,100,0.5,0.5,0.59,0.085(0.005),0.836(0.022),0.16(0.006),0.193(0.007),0(0)
Vani,dirichlet,100,200,100,0.5,0.5,0.53,0.087(0.005),0.845(0.021),0.159(0.007),0.205(0.005),0(0)

Eric,dirichlet,250,400,100,0.5,0.5,0.45,0.055(0.008),0.319(0.012),0.127(0.01),0.094(0.005),0(0)
Coda,dirichlet,250,400,100,0.5,0.5,0.43,0.09(0.009),0.481(0.011),0.174(0.01),0.106(0.005),0(0)
Vani,dirichlet,250,400,100,0.5,0.5,0.39,0.093(0.01),0.492(0.012),0.172(0.011),0.127(0.006),0(0)

Eric,dirichlet,500,500,100,0.5,0.5,0.36,0.025(0.001),0.163(0.004),0.092(0.003),0.052(0.002),0(0)
Coda,dirichlet,500,500,100,0.5,0.5,0.33,0.056(0.002),0.34(0.007),0.133(0.004),0.072(0.003),0(0)
Vani,dirichlet,500,500,100,0.5,0.5,0.31,0.056(0.002),0.339(0.007),0.133(0.004),0.08(0.004),0(0)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Eric,lognormal,100,200,100,0.5,0.5,0.23,2.159(0.083),0.768(0.03),0.816(0.016),0.077(0.004),0.165(0.014),0.835(0.014)
Coda,lognormal,100,200,100,0.5,0.5,0.21,2.907(0.077),1.101(0.038),0.891(0.016),0.113(0.006),0.162(0.013),0.838(0.013)
CoCo,lognormal,100,200,100,0.5,0.5,0.21,2.215(0.099),0.745(0.034),0.815(0.019),0.094(0.004),0.163(0.015),0.837(0.015)
Vani,lognormal,100,200,100,0.5,0.5,0.18,2.955(0.085),1.033(0.038),0.891(0.017),0.132(0.006),0.165(0.015),0.835(0.015)

Eric,lognormal,500,500,100,0.5,0.5,0.14,0.587(0.015),0.264(0.006),0.453(0.008),0.031(0.001),0(0),1(0)
Coda,lognormal,500,500,100,0.5,0.5,0.11,1.544(0.016),0.722(0.007),0.649(0.005),0.072(0.003),0.002(0.002),0.998(0.002)
CoCo,lognormal,500,500,100,0.5,0.5,0.13,0.57(0.014),0.259(0.006),0.457(0.008),0.033(0.002),0(0),1(0)
Vani,lognormal,500,500,100,0.5,0.5,0.11,1.535(0.016),0.704(0.008),0.644(0.005),0.083(0.004),0(0),1(0)


"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,dirichlet,100,200,2,0.5,0.5,0.08,0.193(0.02),4.808(0.121),0.145(0.001),1(0),0(0),1(0)
Eric,dirichlet,100,200,2,0.5,0.5,0.36,0.106(0.016),1.128(0.018),0.155(0.027),0.242(0.031),0(0),1(0)


"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,dirmult,100,200,2,0.531340764170961,0.5,0.07,2.526(0.549),1.822(1.076),0.682(0.178),0.059(0.003),0(0),1(0)
Eric,dirmult,100,200,2,0.531457198016042,0.5,0.22,2.474(0.023),0.797(0.007),0.8(0),0.101(0.018),0.167(0),0.833(0)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Eric,dirichlet,100,200,100,0.5,0.5,0.61,0.066(0.004),0.734(0.024),0.134(0.006),0.184(0.007),0(0),1(0)
Debi,dirichlet,100,200,100,0.5,0.5,0.11,0.183(0.005),5.957(0.197),0.123(0.005),0.999(0),0(0),1(0)
Debi,dirichlet,250,400,100,0.5,0.5,0.11,0.302(0.006),5.652(0.102),0.125(0.008),0.368(0.008),0(0),1(0)
Debi,dirichlet,500,500,100,0.5,0.5,0.09,0.23(0.002),2.875(0.035),0.084(0.003),0.147(0.002),0(0),1(0)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR"
Eric,dirichlet,100,200,100,0.5,0.5,0.61,0.066(0.004),0.734(0.024),0.134(0.006),0.184(0.007),0(0)
Coda,dirichlet,100,200,100,0.5,0.5,0.59,0.085(0.005),0.836(0.022),0.16(0.006),0.193(0.007),0(0)
Vani,dirichlet,100,200,100,0.5,0.5,0.53,0.087(0.005),0.845(0.021),0.159(0.007),0.205(0.005),0(0)

Eric,dirichlet,250,400,100,0.5,0.5,0.45,0.055(0.008),0.319(0.012),0.127(0.01),0.094(0.005),0(0)
Coda,dirichlet,250,400,100,0.5,0.5,0.43,0.09(0.009),0.481(0.011),0.174(0.01),0.106(0.005),0(0)
Vani,dirichlet,250,400,100,0.5,0.5,0.39,0.093(0.01),0.492(0.012),0.172(0.011),0.127(0.006),0(0)

Eric,dirichlet,500,500,100,0.5,0.5,0.36,0.025(0.001),0.163(0.004),0.092(0.003),0.052(0.002),0(0)
Coda,dirichlet,500,500,100,0.5,0.5,0.33,0.056(0.002),0.34(0.007),0.133(0.004),0.072(0.003),0(0)
Vani,dirichlet,500,500,100,0.5,0.5,0.31,0.056(0.002),0.339(0.007),0.133(0.004),0.08(0.004),0(0)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"

Eric,dirichlet,250,400,100,0.5,0.5,0.45,0.055(0.008),0.319(0.012),0.127(0.01),0.094(0.005),0(0),1(0)
Eric,dirichlet,500,500,100,0.5,0.5,0.36,0.025(0.001),0.163(0.004),0.092(0.003),0.052(0.002),0(0),1(0)
Debi,dirichlet,500,500,100,0.5,0.5,0.09,0.23(0.002),2.875(0.035),0.084(0.003),0.147(0.002),0(0),1(0)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,100,150,100,0.5,0.5,0.11,2.967(0.066),2.448(0.182),0.687(0.012),0.053(0.002),0.175(0.012),0.825(0.012)
Eric,lognormal,100,150,100,0.5,0.5,0.21,1.893(0.074),0.676(0.026),0.758(0.016),0.097(0.004),0.152(0.013),0.848(0.013)

"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,50,100,100,0.5,0.5,0.16,4.241(0.117),4.358(0.362),0.904(0.02),0.066(0.002),0.33(0.016),0.67(0.016)
Eric,lognormal,50,100,100,0.5,0.5,0.31,3.376(0.153),1.147(0.077),0.99(0.027),0.117(0.006),0.318(0.021),0.682(0.021)







"model","data_type","n","p","N_sim","tau","rho","lam","SE","PE","l_inf","FPR","FNR","TPR"
Debi,lognormal,100,100,100,0.5,0.5,0.1,2.444(0.047),1.893(0.149),0.623(0.012),0.056(0.002),0.13(0.011),0.87(0.011)
Eric,lognormal,100,100,100,0.5,0.5,0.2,1.779(0.064),0.655(0.022),0.737(0.015),0.117(0.005),0.128(0.012),0.872(0.012)

Debi,lognormal,100,200,100,0.5,0.5,0.13,3.295(0.074),3.564(0.289),0.758(0.014),0.047(0.001),0.162(0.012),0.838(0.012)
Eric,lognormal,100,200,100,0.5,0.5,0.23,2.159(0.083),0.768(0.03),0.816(0.016),0.077(0.004),0.165(0.014),0.835(0.014)

Eric,lognormal,100,300,100,0.5,0.5,0.25,2.528(0.07),0.868(0.028),0.836(0.014),0.064(0.004),0.197(0.011),0.803(0.011)
Debi,lognormal,100,300,100,0.5,0.5,0.14,3.843(0.074),5.174(0.333),0.807(0.012),0.046(0.001),0.2(0.011),0.8(0.011)

Eric,lognormal,250,400,100,0.5,0.5,0.17,1.055(0.034),0.434(0.013),0.594(0.012),0.048(0.002),0.027(0.007)
